mode,category,sub_category,challenge,requirement,tier1_complete,tier2_complete,tier3_complete,tier4_complete,tier5_complete,completed,tier1_target,tier2_target,tier3_target,tier4_target,tier5_target,counts_for_100_percent,display_as_extra
Multiplayer,Career,Boot Camp,Taking Names,Get 100 Eliminations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100,,,,,TRUE,FALSE
Multiplayer,Career,Boot Camp,Team Player,Win 3 Matches,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,TRUE,FALSE
Multiplayer,Career,Boot Camp,Next Gen Warfare,Get 5 Scorestreaks Kills,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,,,,,TRUE,FALSE
Multiplayer,Career,Boot Camp,New Moves,Get a Kill shortly after performing a Wall Jump,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,TRUE,FALSE
Multiplayer,Career,Boot Camp,Holding it Down,Get 10 Objective Kills,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,,,,,TRUE,FALSE
Multiplayer,Career,Boot Camp,Numbers on the Board,"Earn 25,000 Total Score",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25000,,,,,TRUE,FALSE
Multiplayer,Career,Elite Operator,Top Dog,Win a match with the highest Score of all players 10 times,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,5,10,,,TRUE,FALSE
Multiplayer,Career,Elite Operator,Surgical,Get 5 Headshots in a single match 10 times,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,5,10,,,TRUE,FALSE
Multiplayer,Career,Elite Operator,The Real Hero,Win 10 matches in Objective game modes with the most Objective Score,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,5,10,,,TRUE,FALSE
Multiplayer,Career,Elite Operator,Destructive Force,Finish a match with twice as many Eliminations than Deaths 10 times,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,5,10,,,TRUE,FALSE
Multiplayer,Career,Elite Operator,Rush Job,"Be the first player in a match to reach 5,000 score 10 times",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,5,10,,,TRUE,FALSE
Multiplayer,Career,Elite Operator,Hardcore Skills,Complete a Hardcore match in the top 3 Scoring players,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,TRUE,FALSE
