mode,category,sub_category,challenge,requirement,tier1_complete,tier2_complete,tier3_complete,tier4_complete,tier5_complete,completed,tier1_target,tier2_target,tier3_target,tier4_target,tier5_target,counts_for_100_percent,display_as_extra
Co-Op / Endgame,Career,Field Readiness,Initial Exposure,Complete Mission: Exposure,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Field Readiness,Hostile Takeover,Eliminate 100 Human enemies,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Field Readiness,Kill Switch,Eliminate 50 Guild Tech enemies,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,50,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Field Readiness,Field Promotion,Receive your first Power Upgrade,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Field Readiness,Glide or Die,"Glide a total of 1,000m with the Wingsuit in Avalon",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Field Readiness,Cache in Hand,Find and open 20 Supply Caches,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Jack of All Trades,Reeled In,Kill an enemy while or shortly after using the Grappling Hook Ability 10 times,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Jack of All Trades,Peekaboo,Get a Kill with a Melee Weapon while cloaked by the Active Camo Ability 10 times,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Jack of All Trades,Death from Above,Get 25 Kills with the War Machine Ability while airborne,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Jack of All Trades,Over Here Buddy,Get a Kill shortly after using the Flicker Ability 10 times,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Jack of All Trades,Bubble Wrapped,Use the Ballistic Shell Ability and then get at least 5 Kills without leaving it 3 times,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Jack of All Trades,Nowhere to Hide,Kill an enemy revealed by the Vision Pulse Ability by shooting them through a penetrable surface 10 times,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Mission Report,Advanced Soldier,"Get 1,000 Critical Kills",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,50,100,250,500,1000,TRUE,FALSE
Co-Op / Endgame,Career,Mission Report,Titan of War,Eliminate a Titan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Mission Report,Leap for Your Life,Complete the Ascend section in Mission: Fracture without getting hit by a vehicle,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Mission Report,Off the Radar,Perform 10 Finishing Moves,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Mission Report,Inmate at Large,Sneak through the Prison without being detected in Mission: Suppression,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,,,,,TRUE,FALSE
Co-Op / Endgame,Career,Mission Report,Mission Accomplished,Complete every Mission in the Co-Op Campaign,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,,,,,TRUE,FALSE
Co-Op / Endgame,Endgame,C-Link Operative,Maxed Out,In Endgame: reach Operator Combat Rating 60 and then Escape successfully,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.0,,,,,TRUE,FALSE
Co-Op / Endgame,Endgame,C-Link Operative,Conductive Force,In Endgame with the Shocking Reload Skill equipped: Kill 25 enemies shocked with electrical damage,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25.0,,,,,TRUE,FALSE
Co-Op / Endgame,Endgame,C-Link Operative,Up Close & Personal,In Endgame with the Tackle Skill equipped: get 100 Point Blank Kills,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100.0,,,,,TRUE,FALSE
Co-Op / Endgame,Endgame,C-Link Operative,Dive Bomber,In Endgame with the Slide Explosions Skill equipped: get a Kill shortly after using your Wingsuit 10 times,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10.0,,,,,TRUE,FALSE
Co-Op / Endgame,Endgame,C-Link Operative,Demolitions Specialist,In Endgame with the Pinata Skill equipped: get 5 rapid Equipment Kills 5 times,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.0,,,,,TRUE,FALSE
Co-Op / Endgame,Endgame,C-Link Operative,Cratered,In Endgame with the Fall Explosions Skill equipped: get 25 Kills with Fall Damage explosions,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25.0,,,,,TRUE,FALSE
Co-Op / Endgame,Endgame,Endgame Ops,Cool if I Use This?,In Endgame: clear 15 Command Centers,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.0,10.0,15.0,,,TRUE,FALSE
Co-Op / Endgame,Endgame,Endgame Ops,Clean Up Crew,In Endgame: clear 15 Toxin Fields,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.0,10.0,15.0,,,TRUE,FALSE
Co-Op / Endgame,Endgame,Endgame Ops,Recovery Op,In Endgame: complete the Data Collection Activity 3 times,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.0,,,,,TRUE,FALSE
Co-Op / Endgame,Endgame,Endgame Ops,Wind Rider,In Endgame: complete the Toxin Chase Activity 3 times,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.0,,,,,TRUE,FALSE
Co-Op / Endgame,Endgame,Endgame Ops,Staying Active,In Endgame: complete 15 Activities in a single match,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.0,,,,,TRUE,FALSE
Co-Op / Endgame,Endgame,Endgame Ops,What's in the Box,In Endgame: complete the Surprise Shipment Activity 5 times,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.0,,,,,TRUE,FALSE
