mode,category,sub_category,challenge,requirement,tier1_complete,tier2_complete,tier3_complete,tier4_complete,tier5_complete,completed,tier1_target,tier2_target,tier3_target,tier4_target,tier5_target,counts_for_100_percent,display_as_extra
Warzone,Career,Basic Training,Elimination Extravaganza,Get 5 Eliminations,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5.0,,,,,TRUE,FALSE
Warzone,Career,Basic Training,Homework,Complete 3 Contracts,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3.0,,,,,TRUE,FALSE
Warzone,Career,Basic Training,Boxing Day,Open 10 Loot Crates,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,10.0,,,,,TRUE,FALSE
Warzone,Career,Basic Training,And Another One,Complete 3 Matches,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3.0,,,,,TRUE,FALSE
Warzone,Career,Basic Training,Pings and Needles,Live Ping 2 enemies,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2.0,,,,,TRUE,FALSE
Warzone,Career,Basic Training,Deep Pockets,Make 15 Purchases at Buy Stations,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,15.0,,,,,TRUE,FALSE
Warzone,Career,Warzone Tactician,Down Range,Get 20 Eliminations with SMGs while aiming down sights,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,5.0,10.0,20,,,TRUE,FALSE
Warzone,Career,Warzone Tactician,A Familiar Place,Earn 3 Top 10 Placements,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3.0,,,,,TRUE,FALSE
Warzone,Career,Warzone Tactician,Keep Fighting,"Deploy 3 Armor, Ammo, or Utility Boxes",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3.0,,,,,TRUE,FALSE
Warzone,Career,Warzone Tactician,Spot and Snipe,Get 5 Eliminations with Sniper Rifles while aiming down sights,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5.0,,,,,TRUE,FALSE
Warzone,Career,Warzone Tactician,Crate Raider,Open a Legendary Supply Crate,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.0,,,,,TRUE,FALSE
Warzone,Career,Warzone Tactician,Custom Service,Complete 2 Supply Run Contracts,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2.0,,,,,TRUE,FALSE
Warzone,Career,Seasoned Soldier,Load n' Explode,Get 100 Eliminations with Loadout Weapons,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10.0,25.0,50,75,100.0,TRUE,FALSE
Warzone,Career,Seasoned Soldier,Can't Touch This,Get 2 Eliminations without dying 50 times,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.0,10.0,20,30,50.0,TRUE,FALSE
Warzone,Career,Seasoned Soldier,Mobility and Mayhem,Get 50 Eliminations while moving,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.0,10.0,20,30,50.0,TRUE,FALSE
Warzone,Career,Seasoned Soldier,The Crate Escape,Open 50 Legendary Supply Crates,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.0,10.0,20,30,50.0,TRUE,FALSE
Warzone,Career,Seasoned Soldier,Chronic Completionist,Complete 30 Contracts,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.0,5.0,10,20,30.0,TRUE,FALSE
Warzone,Career,Seasoned Soldier,Cranium Pain,Get 50 Headshots,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.0,10.0,20,30,50.0,TRUE,FALSE
Warzone,Hardened,Weapon Specialist,One Thousand Cuts,Get 10 Eliminations with SMGs,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,3.0,5.0,10.0,,,TRUE,FALSE
Warzone,Hardened,Weapon Specialist,Fish in a Barrel,Get 10 Eliminations with Sniper Rifles,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,3.0,5.0,10.0,,,TRUE,FALSE
Warzone,Hardened,Weapon Specialist,Packing Heat,Get 5 Eliminations with Killstreaks,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1.0,3.0,5.0,,,TRUE,FALSE
Warzone,Hardened,Weapon Specialist,Side Kick,Get 10 Eliminations with Pistols,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,3.0,5.0,10.0,,,TRUE,FALSE
Warzone,Hardened,Weapon Specialist,Workhorse,Get 10 Eliminations with Assault Rifles,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,3.0,5.0,10.0,,,TRUE,FALSE
Warzone,Hardened,Weapon Specialist,Ground Pound,Get 10 Eliminations using Ground Looted Weapons,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,3.0,5.0,10.0,,,TRUE,FALSE
Warzone,Hardened,Popping Off,Flawless Frogging,Get 2 Eliminations without taking damage in a single match 5 times,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5.0,,,,,TRUE,FALSE
Warzone,Hardened,Popping Off,Up Close,Get 2 Eliminations using hipfire without dying 2 times,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2.0,,,,,TRUE,FALSE
Warzone,Hardened,Popping Off,Sniped,Get 5 One-Shot Kills with Sniper Rifles,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5.0,,,,,TRUE,FALSE
Warzone,Hardened,Popping Off,Fearless Hunter,Complete 3 Bounty Contracts without dying 3 times,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3.0,,,,,TRUE,FALSE
Warzone,Hardened,Popping Off,Satisfied,Win 3 Matches,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3.0,,,,,TRUE,FALSE
Warzone,Hardened,Popping Off,Continuous,Get 3 Eliminations with guns without reloading,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1.0,,,,,TRUE,FALSE
Warzone,Hardened,Violent Tendencies,Pistolero,Get 5 Eliminations with Pistols while aiming down sights,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5.0,,,,,TRUE,FALSE
Warzone,Hardened,Violent Tendencies,Come Closer,Get 5 Eliminations with Melee Weapons,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5.0,,,,,TRUE,FALSE
Warzone,Hardened,Violent Tendencies,The Ultimate Insult,Get 3 Kills with grenade sticks,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3.0,,,,,TRUE,FALSE
Warzone,Hardened,Violent Tendencies,Finish Them,Perform 10 Finishing Moves,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,3.0,5.0,10.0,,,TRUE,FALSE
Warzone,Hardened,Violent Tendencies,Kill Collector,Get 2 One-Shot Kills with Sniper Rifles in a single match 3 times,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3.0,,,,,TRUE,FALSE
Warzone,Hardened,Violent Tendencies,Wanted Dead,Complete 3 Big Game Bounty Contracts,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3.0,,,,,TRUE,FALSE
Warzone,Prestige,Looter Shooter Prestige 1,Gun Nut,Loot 15 Weapons,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,5.0,10.0,15.0,TRUE,FALSE
Warzone,Prestige,Looter Shooter Prestige 1,Level Up,Buy 5 Killstreaks at Buy Stations,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,5.0,,,TRUE,FALSE
Warzone,Prestige,Looter Shooter Prestige 1,Cash Grab,Loot Cash 30 times,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,30.0,,,TRUE,FALSE
Warzone,Prestige,Looter Shooter Prestige 1,Crate Expectations,Open 15 Loot Crates,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,15.0,,,TRUE,FALSE
Warzone,Prestige,Looter Shooter Prestige 1,Buy and Fly,Make purchases at 3 different buy stations in a single match,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,1.0,,,TRUE,FALSE
Warzone,Prestige,Looter Shooter Prestige 1,Vulture,Complete 2 Scavenger Contracts in a single match 5 times,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,1.0,3.0,5.0,TRUE,FALSE
Warzone,Prestige,Weapon Wizardry Prestige 2,Assault Annihilator,Get 15 Eliminations with Assault Rifles,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,5.0,10.0,15.0,TRUE,FALSE
Warzone,Prestige,Weapon Wizardry Prestige 2,Bullet Spitter,Get 15 Eliminations with SMGs,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,5.0,10.0,15.0,TRUE,FALSE
Warzone,Prestige,Weapon Wizardry Prestige 2,Marksman Madness,Get 15 Eliminations with Marksman Rifles,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,5.0,10.0,15.0,TRUE,FALSE
Warzone,Prestige,Weapon Wizardry Prestige 2,Sniper Spectacle,Get 15 Eliminations with Sniper Rifles,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,5.0,10.0,15.0,TRUE,FALSE
Warzone,Prestige,Weapon Wizardry Prestige 2,Launcher Lunacy,Get 1 Elimination with Launchers,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,1.0,,,TRUE,FALSE
Warzone,Prestige,Weapon Wizardry Prestige 2,Plus One,Get 3 Eliminations with Secondary Weapons,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,3.0,5.0,10.0,TRUE,FALSE
Warzone,Prestige,Survival Instincts Prestige 3,Armor Up,Loot 30 Armor Plates,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,30.0,,,TRUE,FALSE
Warzone,Prestige,Survival Instincts Prestige 3,Elevated,Earn 10 Top 15 placements,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,1.0,5.0,10.0,TRUE,FALSE
Warzone,Prestige,Survival Instincts Prestige 3,Opportunist,Get 15 Eliminations using Ground Looted Weapons,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,5.0,10.0,15.0,TRUE,FALSE
Warzone,Prestige,Survival Instincts Prestige 3,Cockroach,Buy Back or Revive 3 Players,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,3.0,,,TRUE,FALSE
