mode,category,sub_category,challenge,requirement,tier1_complete,tier2_complete,tier3_complete,tier4_complete,tier5_complete,completed,tier1_target,tier2_target,tier3_target,tier4_target,tier5_target
Zombies,Career,Fresh Meat,Fresh Fiz,Drink 3 Perks,TRUE,,,,,TRUE,3,,,,
Zombies,Career,Fresh Meat,Hotrodder,Upgrade your Weapon with the Pack-a-Punch Machine on Ol' Tessie,TRUE,,,,,TRUE,1,,,,
Zombies,Career,Fresh Meat,Bargain Bin,Get 50 Eliminations with Weapons acquired from the Mystery Box,TRUE,,,,,TRUE,50,,,,
Zombies,Career,Fresh Meat,Overmatch,Get 50 Eliminations with Pack-a-Punched Weapons,TRUE,,,,,TRUE,50,,,,
Zombies,Career,Fresh Meat,MSRP,Get 50 Eliminations using Wall Buy Weapons,TRUE,,,,,TRUE,50,,,,
Zombies,Career,Fresh Meat,Tourist,Visit all locations in Ashes of the Damned in a single match,TRUE,,,,,TRUE,1,,,,
Zombies,Career,Trophy Hunter,Vehicular Zomslaughter,Earn 10 Shotgun! Medals (Rapidly Kill 10 Zombies with a Vehicle),TRUE,TRUE,TRUE,,,TRUE,1,5,10,,
Zombies,Career,Trophy Hunter,Killer Efficiency,Get 2 Critical Kills with a single shot using Primary or Secondary weapons 25 times,TRUE,TRUE,TRUE,,,TRUE,5,10,25,,
Zombies,Career,Trophy Hunter,Madness,Kill 100 Zombies with or that are affected by triggered Ammo Mod effects,TRUE,TRUE,TRUE,,,TRUE,25,50,100,,
Zombies,Career,Trophy Hunter,Profiteer,"Exfil with 10,000 Essence or more",TRUE,,,,,TRUE,1,,,,
Zombies,Career,Trophy Hunter,Red Mist,Earn 3 Distinguished Medals (view Medal Collection in Career for Medals list),TRUE,,,,,TRUE,3,,,,
Zombies,Career,Trophy Hunter,Deadlift,Reach Round 20 and Exfil,TRUE,,,,,TRUE,1,,,,
Zombies,Career,Quarantined,Death Toll,"Eliminate 25,000 Zombies",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1000,2500,5000,10000,25000
Zombies,Career,Quarantined,Head Popper,"Get 15,000 Critical Kills",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,500,1000,2500,7500,15000
Zombies,Career,Quarantined,Going Rounds,Complete 500 Rounds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25,50,100,250,500
Zombies,Career,Quarantined,Deathsmith,"Get 2,500 Zombie Kills with Equipment",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100,250,500,1000,2500
Zombies,Career,Quarantined,Scouring,"Get 10,000 Zombie Kills with Scorestreaks",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,500,1000,2500,5000,10000
Zombies,Career,Quarantined,Power Killer,"Get 10,000 Zombie Eliminations with Wonder Weapons",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,500,1000,2500,5000,10000
Zombies,Hardened,Field Research,Ravaging,Earn 20 Stay Down Medals (Rapidly Kill 5 or more Ravagers),TRUE,TRUE,TRUE,,,TRUE,5.0,10.0,20.0,,
Zombies,Hardened,Field Research,Devils Trap,Kill 10 Special Zombies or Elite Zombies while they are slowed by your Toxic Growth,TRUE,TRUE,TRUE,,,TRUE,1.0,5.0,10.0,,
Zombies,Hardened,Field Research,Demon Engine,Kill 250 Zombies using Saw Blade traps,TRUE,TRUE,TRUE,,,TRUE,50.0,100.0,250.0,,
Zombies,Hardened,Field Research,Sapper,Kill 5 Zombies Rapidly using C4 or Point Turrets 25 times,TRUE,TRUE,TRUE,,,TRUE,5.0,10.0,25.0,,
Zombies,Hardened,Field Research,Malicious Munitions,Kill 20 Special or Elite Zombies while using their elemental weakness,TRUE,TRUE,TRUE,,,TRUE,5.0,10.0,20.0,,
Zombies,Hardened,Field Research,Zursa Tamer,Kill 15 Zombies with a single Brain Rotted Zursa,TRUE,,,,,TRUE,1.0,,,,
Zombies,Hardened,Kitted Out,Gumania,Consume 25 Epic or higher rarity Gobblegums,TRUE,TRUE,TRUE,,,TRUE,5.0,10.0,25.0,,
Zombies,Hardened,Kitted Out,Calorific,Have 6 Perks equipped at one time,TRUE,,,,,TRUE,1.0,,,,
Zombies,Hardened,Kitted Out,Auto Artisan,Kill 10 Ravagers or Elite Zombies while using Ol' Tessie's DG-2 Turret,TRUE,,,,,TRUE,10.0,,,,
Zombies,Hardened,Kitted Out,Eat This!,Kill 50 Zombies with a single use of the HKDs Scorestreak,TRUE,,,,,TRUE,1.0,,,,
