mode,category,sub_category,challenge,requirement,tier1_complete,tier2_complete,tier3_complete,tier4_complete,tier5_complete,completed,tier1_target,tier2_target,tier3_target,tier4_target,tier5_target,notes
Multiplayer,Career,Boot Camp,Taking Names,"Get 100 Eliminations",TRUE,N/A,N/A,N/A,N/A,TRUE,100,N/A,N/A,N/A,N/A,
Multiplayer,Career,Boot Camp,Team Player,"Win 3 Matches",TRUE,N/A,N/A,N/A,N/A,TRUE,3,N/A,N/A,N/A,N/A,
Multiplayer,Career,Boot Camp,Next Gen Warfare,"Get 5 Scorestreak Kills",TRUE,N/A,N/A,N/A,N/A,TRUE,5,N/A,N/A,N/A,N/A,
Multiplayer,Career,Boot Camp,New Moves,"Get a Kill shortly after performing a Wall Jump",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Career,Boot Camp,Holding it Down,"Get 10 Objective Kills",TRUE,N/A,N/A,N/A,N/A,TRUE,10,N/A,N/A,N/A,N/A,
Multiplayer,Career,Boot Camp,Numbers on the Board,"Earn 25000 Total Score",TRUE,N/A,N/A,N/A,N/A,TRUE,25000,N/A,N/A,N/A,N/A,
Multiplayer,Career,Elite Operator,Top Dog,"Win a match with the highest Score of all players 10 times",TRUE,TRUE,TRUE,N/A,N/A,TRUE,1,5,10,N/A,N/A,
Multiplayer,Career,Elite Operator,Surgical,"Get 5 Headshots in a single match 10 times",TRUE,TRUE,TRUE,N/A,N/A,TRUE,1,5,10,N/A,N/A,
Multiplayer,Career,Elite Operator,The Real Hero,"Win 10 matches in Objective game modes with the most Objective Score",TRUE,TRUE,TRUE,N/A,N/A,TRUE,1,5,10,N/A,N/A,
Multiplayer,Career,Elite Operator,Destructive Force,"Finish a match with twice as many Eliminations than Deaths 10 times",TRUE,TRUE,TRUE,N/A,N/A,TRUE,1,5,10,N/A,N/A,
Multiplayer,Career,Elite Operator,Rush Job,"Be the first player in a match to reach 5000 score 10 times",TRUE,TRUE,TRUE,N/A,N/A,TRUE,1,5,10,N/A,N/A,
Multiplayer,Career,Elite Operator,Hardcore Skills,"Complete a Hardcore match in the top 3 Scoring players",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Career,Grizzled Veteran,Eliminations Collector,"Get 10000 Eliminations",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,500,1000,2500,5000,10000,
Multiplayer,Career,Grizzled Veteran,Headshot Collector,"Get 1000 Headshots",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,50,100,250,500,1000,
Multiplayer,Career,Grizzled Veteran,Winner,"Win 250 matches",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,10,25,50,100,250,
Multiplayer,Career,Grizzled Veteran,Aggression,"Get 500 Objective Kills",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25,50,100,250,500,
Multiplayer,Career,Grizzled Veteran,Racked Up,"Earn 1000000 Score",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,50000,100000,250000,500000,1000000,
Multiplayer,Career,Grizzled Veteran,Dialed In,"Get 250 Scorestreak Kills",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,25,50,125,150,250,
Multiplayer,Hardened,Killer,Double Killer,"Earn 50 Double Kill Medals",TRUE,TRUE,TRUE,N/A,N/A,TRUE,10,25,50,N/A,N/A,
Multiplayer,Hardened,Killer,Triple Killer,"Earn 25 Triple Kill Medals",TRUE,TRUE,TRUE,N/A,N/A,TRUE,5,10,25,N/A,N/A,
Multiplayer,Hardened,Killer,Fury Killer,"Earn a Fury Kill Medal",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Hardened,Killer,Bloodthirsty Killer,"Earn 50 Bloodthirsty Medals",TRUE,TRUE,TRUE,N/A,N/A,TRUE,10,25,50,N/A,N/A,
Multiplayer,Hardened,Killer,Merciless Killer,"Earn 5 Merciless Medals",TRUE,TRUE,TRUE,N/A,N/A,TRUE,1,3,5,N/A,N/A,
Multiplayer,Hardened,Killer,Ruthless Killer,"Earn a Ruthless Medal",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Hardened,Going Ham,Finders Keepers,"Get a Triple Kill with an enemy weapon you picked up 3 times",FALSE,FALSE,FALSE,N/A,N/A,FALSE,1,2,3,N/A,N/A,
Multiplayer,Hardened,Going Ham,Slice & Dice,"Get a Triple Kill with a Melee Weapon",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Hardened,Going Ham,Power Tools,"Get a Triple Kill using a Weapon Scorestreak",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Hardened,Going Ham,Full Auto Mayhem,"Get 3 Kills with an LMG without releasing the trigger",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
Multiplayer,Hardened,Going Ham,Saving Ammo,"Earn a Collateral Medal",TRUE,N/A,N/A,N/A,N/A,TRUE,1,N/A,N/A,N/A,N/A,
