map,category,item,earned
Ashes of the Damned,Main Quest,Calling Card - Ashes of the Damned Complete (Directed),TRUE
Ashes of the Damned,Main Quest,Maya Operator Skin - Bushwalker,TRUE
Ashes of the Damned,Main Quest,Calling Card - Ashes of the Damned - Standard Quest Complete,TRUE
Ashes of the Damned,Main Quest,Dempsey Operator Skin - Oorah! (Standard),TRUE
Ashes of the Damned,Main Quest,Calling Card - Ashes of the Damned Relic,FALSE
Ashes of the Damned,Main Quest,Dempsey Operator Skin - Oorah! (Cursed III),FALSE
Ashes of the Damned,Pack-a-Punch Camos,Runic,TRUE
Ashes of the Damned,Pack-a-Punch Camos,Necromancer,TRUE
Ashes of the Damned,Pack-a-Punch Camos,Incantation,TRUE
Ashes of the Damned,Pack-a-Punch Camos,Caustic Ash,FALSE
Ashes of the Damned,Pack-a-Punch Camos,Molten Ash,FALSE
Ashes of the Damned,Pack-a-Punch Camos,Putrid Ash,FALSE
Ashes of the Damned,Relics,Lawyers Pen,TRUE
Ashes of the Damned,Relics,Dragon Wings,TRUE
Ashes of the Damned,Relics,Teddy Bear,FALSE
Ashes of the Damned,Relics,Vril Sphere,FALSE
Ashes of the Damned,Relics,Samantha's Drawing,FALSE
Ashes of the Damned,Relics,Focusing Stone,FALSE
Ashes of the Damned,Relics,Bus,FALSE
Ashes of the Damned,Relics,Dragon,FALSE
Ashes of the Damned,Relics,Blood Vials,FALSE
Ashes of the Damned,Starting Room,Gobblegum - Near Death Experience,FALSE
Ashes of the Damned,Starting Room,Calling Card - Noir Bash,FALSE
Ashes of the Damned,Starting Room,Calling Card - Colorful Bash,FALSE
Astra Malorum,Main Quest,Calling Card - Astra Malorum Directed Mode Completion,TRUE
Astra Malorum,Main Quest,Grey Operator Skin - Cosmic Repair,TRUE
Astra Malorum,Main Quest,Calling Card - Astra Malorum Standard Completion,TRUE
Astra Malorum,Main Quest,Nikolai Operator Skin - Bottled Up (Standard),TRUE
Astra Malorum,Main Quest,Calling Card - Lament,FALSE
Astra Malorum,Main Quest,Nikolai Operator Skin - Bottled Up (Cursed III),FALSE
Astra Malorum,Pack-a-Punch Camos,Celestial,TRUE
