slot_id,slot_name,item_type,default_count,required,wildcard_modifiable,notes
primary_weapon,Primary Weapon,weapon,1,true,true,Default primary attachment limit is 5; Gunfighter raises it to 8.
secondary_weapon,Secondary Weapon,weapon,1,true,true,Overkill permits any non-melee weapon in this slot.
dedicated_melee,Dedicated Melee,melee_weapon,1,true,true,Flyswatter replaces this slot with a Launcher.
tactical,Tactical,equipment,1,true,true,Tac Expert adds one tactical.
lethal,Lethal,equipment,1,true,true,Danger Close adds one lethal.
field_upgrade,Field Upgrade,field_upgrade,1,true,true,Prepper sets the count to two different Field Upgrades.
perk_1,Perk 1,perk,1,true,false,Counts towards Combat Specialty.
perk_2,Perk 2,perk,1,true,false,Counts towards Combat Specialty.
perk_3,Perk 3,perk,1,true,false,Counts towards Combat Specialty.
wildcard,Wildcard,wildcard,1,true,false,
scorestreak,Scorestreak,scorestreak,3,true,true,High Roller raises the count to four. Specialist replaces Scorestreaks with perk rewards.
