attachment_id,attachment_name,slot,stats_profile,compatible_weapon_classes,compatible_guns,unlock_weapon,unlock_level,unlock_method,damage_pct,fire_rate_pct,ads_ms_add,sprint_to_fire_ms_add,recoil_pct,bullet_velocity_pct,range_pct,mag_size_add,ads_pct,sprint_to_fire_pct,reload_pct,jump_ads_pct,jump_sprint_to_fire_pct,movement_pct,sprint_pct,crouch_movement_pct,ads_movement_pct,gun_kick_pct,horizontal_recoil_pct,vertical_recoil_pct,first_shot_recoil_pct,kick_reset_speed_pct,flinch_resistance_pct,aiming_idle_sway_pct,visual_recoil_pct,optic_zoom,optic_type,attachment_type,head_damage_pct,head_damage_close_pct,head_damage_mid_pct,head_damage_long_pct,head_damage_close_add,head_damage_mid_add,head_damage_long_add,head_damage_close,head_damage_mid,head_damage_long,head_multiplier,head_multiplier_pct,slide_to_fire_pct,dive_to_fire_pct,hipfire_spread_pct,jump_hipfire_spread_pct,slide_hipfire_spread_pct,dive_hipfire_spread_pct,mags_add,range_profile,raw_stat_text,source,source_date,verification_status,verification_notes
mp_ds20_mirage_lt1_stentorian_brake,LT1 Stentorian Brake,muzzle,multiplayer,assault_rifle,ds20_mirage,ds20_mirage,,weapon level,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-7,-1,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Fire rate 625->667 +7%; gun kick -3%; horizontal recoil -7%; vertical recoil -1%.,in-game screenshot,2026-07-10,verified,DS20-specific values. Do not reuse X9 row.
mp_ds20_mirage_monolithic_suppressor,Monolithic Suppressor,muzzle,multiplayer,assault_rifle,ds20_mirage,ds20_mirage,,weapon level,0.0,0.0,0.0,0.0,0.0,20,8,0.0,20,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-27:27;27-48:23;48+:22,Bullet velocity 720->864 +20%; range profile 0-27:27;27-48:23;48+:22; ADS 270->325 +20%; jump ADS 361->438 +21%.,in-game screenshot,2026-07-10,verified,Long-lane option with handling penalty.
mp_ds20_mirage_rl_5_56_brake,RL-5.56 Brake,muzzle,multiplayer,assault_rifle,ds20_mirage,ds20_mirage,,weapon level,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,-8,-60,-67,0.0,,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,First shot recoil 1.00x->0.40x -60%; gun kick 12.32->11.41 -7%; vertical recoil 56.46->51.94 -8%; kick reset 600->200 -67%.,in-game screenshot,2026-07-10,verified,Strong first-shot headshot muzzle.
mp_ds20_mirage_redwell_5_56_compensator,Redwell 5.56 Compensator,muzzle,multiplayer,assault_rifle,ds20_mirage,ds20_mirage,,weapon level,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14,0.0,-15,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gun kick 12.32->10.61 -14%; vertical recoil 56.46->47.99 -15%.,in-game screenshot,2026-07-10,verified,Best pure recoil muzzle captured so far.
mp_ds20_mirage_redwell_shade_x_suppressor,Redwell Shade-X Suppressor,muzzle,multiplayer,assault_rifle,ds20_mirage,ds20_mirage,,weapon level,0.0,0.0,0.0,0.0,0.0,-13,-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11,-11,-11,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-22:27;22-39:23;39+:22,Bullet velocity 720->626.4 -13%; range profile 0-22:27;22-39:23;39+:22; gun kick -11%; horizontal recoil -11%; vertical recoil -11%.,in-game screenshot,2026-07-10,verified,DS20-specific values. Do not reuse X9 row.
mp_ds20_mirage_titan_r_5_56_compensator,Titan-R 5.56 Compensator,muzzle,multiplayer,assault_rifle,ds20_mirage,ds20_mirage,,weapon level,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,-20,-20,-25,-30,-30,-30,0.0,,Hipfire max spread 8.15->6.11 -25%; jump hipfire 12.15->8.51 -30%; slide hipfire 15.15->10.61 -30%; dive hipfire 15.15->10.61 -30%; slide to fire 440->352 -20%; dive to fire 520->416 -20%.,in-game screenshot,2026-07-10,verified,Close-range hipfire and slide/dive utility.
mp_ds20_mirage_vas_5_56_suppressor,VAS 5.56 Suppressor,muzzle,multiplayer,assault_rifle,ds20_mirage,ds20_mirage,,weapon level,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No visible numeric stat change.,in-game screenshot,2026-07-10,utility_only,Suppressor utility only. Exclude from optimiser until stealth scoring exists.
mp_ds20_mirage_14_2_winged_barrel,"14.2"" Winged Barrel",barrel,multiplayer,assault_rifle,ds20_mirage,ds20_mirage,,weapon level,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,-11,0.0,-13,-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,ADS 270->250 -7%; jump ADS 361->315 -13%; sprint to fire 220->195 -11%; jump sprint to fire 319->263 -18%.,in-game screenshot,2026-07-10,verified,Aggressive handling barrel.
mp_ds20_mirage_16_redwell_jx_201_barrel,"16"" Redwell JX-201 Barrel",barrel,multiplayer,assault_rifle,ds20_mirage,ds20_mirage,,weapon level,0.0,0.0,0.0,0.0,0.0,17,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-30:27;30-53:23;53+:22,Bullet velocity 720->846 +17%; range profile 0-30:27;30-53:23;53+:22.,in-game screenshot,2026-07-10,verified,Locked hybrid barrel. Range and velocity.
mp_ds20_mirage_17_1_abdicator_barrel,"17.1"" Abdicator Barrel",barrel,multiplayer,assault_rifle,ds20_mirage,ds20_mirage,,weapon level,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,20,35,0.0,0.0,0.0,,,,,,6,,,,,,,37,,,1.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Head damage 35->37 +6%; head multiplier 1.3->1.4; gun kick +34%; horizontal recoil +20%; vertical recoil +35%.,in-game screenshot,2026-07-10,verified,Headshot-only damage effect. Do not model as body damage_pct.
